X,Y,OBJECTID,PARK_NAME,AGE_RANGE,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-75.1633571327384,39.9385074654474,409,Hawthorne Cultural Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017"
-75.1644402556559,39.9396336934352,410,Ridgway Park,2_5_YEARS,2016/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1584043249756,39.9410279174288,411,Walter Palumbo Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1597913903882,39.9435392254653,412,Charles Seger Park,2_5_YEARS,2012/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.152650555601,39.9425663042839,413,Starr Garden Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Pictometry 2020"
-75.1510441564026,39.9555903672349,414,Franklin Square,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1371371497006,39.9670370419456,415,Tip Top Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1373041404804,39.9723794543585,416,Hancock Playground,2_5_YEARS,2020/01/01 00:00:00+00,,"Pictometry 2020;Rebuild Construction Updates 2020"
-75.1448793800417,39.9729274412569,417,Narcissa S Cruz Recreation Center,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1510586757956,39.9754354714375,418,Marie Dendy Recreation Center,2_5_YEARS,2016/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1349894445145,39.9781656887134,419,Michael J Towey Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.0444195825923,40.0279701421645,420,Disston Recreation Center,5_12_YEARS,2020/01/01 00:00:00+00,Installed between 2019 and 2020.,"Pictometry 2020, Rebuild Construction Updates 2020"
