X,Y,OBJECTID,BLOCK_NAME,ZIP_CODE,YEAR,COMMENTS,DATA_SOURCE
-75.1385695785401,40.0383877633703,301,5600 Block of N WARNOCK ST,19141,2020,,2020 Playstreets Program
-75.2392397334416,39.9246170571761,302,2000 Block of BONNAFFON ST,19142,2020,,2020 Playstreets Program
-75.2293156451581,39.9528850928509,303,5300 Block of ADDISON ST,19143,2020,,2020 Playstreets Program
-75.1607654300454,40.0380025404337,304,500 Block of E BRINGHURST ST,19144,2020,,2020 Playstreets Program
-75.1701701481407,40.0432538551405,305,500 Block of E RITTENHOUSE ST,19144,2020,,2020 Playstreets Program
-75.1903664117691,39.9326942295639,306,1600 Block of S ETTING ST,19145,2020,,2020 Playstreets Program
-75.1892748871743,39.9325556926457,307,1600 Block of S TANEY ST,19145,2020,,2020 Playstreets Program
-75.1968938663076,39.9347873551356,308,1500 Block of S PATTON ST,19146,2020,,2020 Playstreets Program
-75.1729124913258,39.9361391993099,309,1700 Block of MANTON ST,19146,2020,,2020 Playstreets Program
-75.1793166792393,39.9381114783119,310,2100 Block of ANNIN ST,19146,2020,,2020 Playstreets Program
-75.1796918659256,39.9440295632052,311,2200 Block of PEMBERTON ST,19146,2020,,2020 Playstreets Program
-75.1585434419947,39.9321480201865,312,800 Block of EARP ST,19147,2020,,2020 Playstreets Program
-75.1552158673827,39.925441315469,313,500 Block of SIGEL ST,19148,2020,,2020 Playstreets Program
-75.1585319563901,39.9249901574848,314,700 Block of HOFFMAN ST,19148,2020,,2020 Playstreets Program
-75.1573128009275,39.9232503166302,315,600 Block of MERCY ST,19148,2020,,2020 Playstreets Program
-75.0665552278629,40.0457238339125,316,7000 Block of SOUDER ST,19149,2020,,2020 Playstreets Program
-75.1747275073052,40.0735018100075,317,1200 Block of E DURHAM ST,19150,2020,,2020 Playstreets Program
